year,month,product,retail,wholesale
2015,3.0,adult_milk,552.0,5.2
2015,3.0,carrots,60.0,5008.0
2015,3.0,edible_oil,892.0,882.0
2015,3.0,eggs,105.0,85.0
2015,3.0,flour_bakery,40.0,75.0
2015,3.0,lentils,82.0,52.0
2015,3.0,lettuce,22.0,2.0
2015,3.0,squash,9.0,69.0
2015,3.0,sugar_white,8.0,90.0
2015,3.0,tea,592.0,52.0
2015,3.0,tomato,86.0,66.0
2015,4.0,adult_milk,552.0,5.2
2015,4.0,carrots,69.0,59.0
2015,4.0,edible_oil,892.0,882.0
2015,4.0,flour_bakery,40.0,75.0
2015,4.0,lentils,82.0,52.0
2015,4.0,lettuce,22.0,2.0
2015,4.0,onion,93.0,62.0
2015,4.0,peppers_sweet,28.0,98.0
2015,4.0,potato,71.0,51.0
2015,4.0,sugar_white,8.0,90.0
2015,4.0,tea,592.0,52.0
2015,4.0,tomato,94.0,81.0
2015,5.0,adult_milk,552.0,5.2
2015,5.0,carrots,60.0,50.0
2015,5.0,edible_oil,872.0,882.0
2015,5.0,flour_bakery,40.0,30.0
2015,5.0,lentils,82.0,52.0
2015,5.0,lettuce,22.0,2.0
2015,5.0,onion,50.0,2.0
2015,5.0,peppers_sweet,77.0,87.0
2015,5.0,potato,80.0,50.0
2015,5.0,squash,87.0,50.0
2015,5.0,sugar_white,8.0,76.0
2015,5.0,tea,572.0,52.0
2015,5.0,tomato,66.0,66.0
2015,6.0,adult_milk,552.0,5.2
2015,6.0,carrots,72.0,82.0
2015,6.0,edible_oil,872.0,882.0
2015,6.0,flour_bakery,40.0,30.0
2015,6.0,lentils,82.0,52.0
2015,6.0,lettuce,8.0,78.0
2015,6.0,onion,62.0,52.0
2015,6.0,peppers_sweet,75.0,85.0
2015,6.0,potato,80.0,50.0
2015,6.0,squash,52.0,52.0
2015,6.0,sugar_white,8.0,76.0
2015,6.0,tea,572.0,52.0
2015,6.0,tomato,80.0,69.0
2015,7.0,adult_milk,552.0,522.0
2015,7.0,carrots,72.0,12.0
2015,7.0,edible_oil,172.0,112.0
2015,7.0,eggs,65.0,55.0
2015,7.0,flour_bakery,136.5,28.1
2015,7.0,lentils,512.0,552.0
2015,7.0,onion,62.0,52.0
